Year,Commodity,Food_Group,Supply_Chain_Stage,Loss_Percentage,Dataset_Status
2015,Rice,Cereals,Harvest,1.86,Synthetic data for visualization practice
2015,Rice,Cereals,Handling,1.88,Synthetic data for visualization practice
2015,Rice,Cereals,Storage,2.63,Synthetic data for visualization practice
2015,Rice,Cereals,Transport,1.49,Synthetic data for visualization practice
2015,Rice,Cereals,Market,1.23,Synthetic data for visualization practice
2015,Wheat,Cereals,Harvest,2.02,Synthetic data for visualization practice
2015,Wheat,Cereals,Handling,1.68,Synthetic data for visualization practice
2015,Wheat,Cereals,Storage,2.17,Synthetic data for visualization practice
2015,Wheat,Cereals,Transport,2.18,Synthetic data for visualization practice
2015,Wheat,Cereals,Market,1.74,Synthetic data for visualization practice
2015,Maize,Cereals,Harvest,2.27,Synthetic data for visualization practice
2015,Maize,Cereals,Handling,1.71,Synthetic data for visualization practice
2015,Maize,Cereals,Storage,2.04,Synthetic data for visualization practice
2015,Maize,Cereals,Transport,1.95,Synthetic data for visualization practice
2015,Maize,Cereals,Market,1.22,Synthetic data for visualization practice
2015,Barley,Cereals,Harvest,2.16,Synthetic data for visualization practice
2015,Barley,Cereals,Handling,1.69,Synthetic data for visualization practice
2015,Barley,Cereals,Storage,2.29,Synthetic data for visualization practice
2015,Barley,Cereals,Transport,2.33,Synthetic data for visualization practice
2015,Barley,Cereals,Market,1.55,Synthetic data for visualization practice
2015,Millet,Cereals,Harvest,2.03,Synthetic data for visualization practice
2015,Millet,Cereals,Handling,1.83,Synthetic data for visualization practice
2015,Millet,Cereals,Storage,2.49,Synthetic data for visualization practice
2015,Millet,Cereals,Transport,2.08,Synthetic data for visualization practice
2015,Millet,Cereals,Market,1.66,Synthetic data for visualization practice
2015,Sorghum,Cereals,Harvest,1.99,Synthetic data for visualization practice
2015,Sorghum,Cereals,Handling,1.54,Synthetic data for visualization practice
2015,Sorghum,Cereals,Storage,2.16,Synthetic data for visualization practice
2015,Sorghum,Cereals,Transport,2.1,Synthetic data for visualization practice
2015,Sorghum,Cereals,Market,1.81,Synthetic data for visualization practice
2015,Chickpea,Pulses,Harvest,1.64,Synthetic data for visualization practice
2015,Chickpea,Pulses,Handling,1.27,Synthetic data for visualization practice
2015,Chickpea,Pulses,Storage,2.26,Synthetic data for visualization practice
2015,Chickpea,Pulses,Transport,1.91,Synthetic data for visualization practice
2015,Chickpea,Pulses,Market,1.49,Synthetic data for visualization practice
2015,Pigeon Pea,Pulses,Harvest,2.78,Synthetic data for visualization practice
2015,Pigeon Pea,Pulses,Handling,2.2,Synthetic data for visualization practice
2015,Pigeon Pea,Pulses,Storage,3.13,Synthetic data for visualization practice
2015,Pigeon Pea,Pulses,Transport,2.75,Synthetic data for visualization practice
2015,Pigeon Pea,Pulses,Market,2.05,Synthetic data for visualization practice
2015,Lentil,Pulses,Harvest,1.95,Synthetic data for visualization practice
2015,Lentil,Pulses,Handling,1.62,Synthetic data for visualization practice
2015,Lentil,Pulses,Storage,2.35,Synthetic data for visualization practice
2015,Lentil,Pulses,Transport,1.44,Synthetic data for visualization practice
2015,Lentil,Pulses,Market,1.34,Synthetic data for visualization practice
2015,Green Gram,Pulses,Harvest,2.1,Synthetic data for visualization practice
2015,Green Gram,Pulses,Handling,1.74,Synthetic data for visualization practice
2015,Green Gram,Pulses,Storage,2.93,Synthetic data for visualization practice
2015,Green Gram,Pulses,Transport,1.89,Synthetic data for visualization practice
2015,Green Gram,Pulses,Market,1.9,Synthetic data for visualization practice
2015,Black Gram,Pulses,Harvest,2.3,Synthetic data for visualization practice
2015,Black Gram,Pulses,Handling,1.95,Synthetic data for visualization practice
2015,Black Gram,Pulses,Storage,2.85,Synthetic data for visualization practice
2015,Black Gram,Pulses,Transport,2.41,Synthetic data for visualization practice
2015,Black Gram,Pulses,Market,1.95,Synthetic data for visualization practice
2015,Mango,Fruits,Harvest,3.8,Synthetic data for visualization practice
2015,Mango,Fruits,Handling,3.34,Synthetic data for visualization practice
2015,Mango,Fruits,Storage,4.39,Synthetic data for visualization practice
