District,State,Reference_Year,Food_Insecurity_Percent,Child_Stunting_Percent,Child_Wasting_Percent,Anaemia_Percent,Poverty_Percent,Nutrition_Score,Dataset_Status
AP_District_01,Andhra Pradesh,2019,18.48,30.96,9.99,52.38,19.38,58.88,Synthetic data for visualization practice
AP_District_01,Andhra Pradesh,2020,15.98,28.54,12.89,52.19,17.14,61.25,Synthetic data for visualization practice
AP_District_01,Andhra Pradesh,2021,18.48,30.52,14.85,44.41,22.53,58.84,Synthetic data for visualization practice
AP_District_02,Andhra Pradesh,2019,21.24,37.52,10.43,45.94,25.67,54.23,Synthetic data for visualization practice
AP_District_02,Andhra Pradesh,2020,22.15,34.87,14.38,59.72,27.59,51.57,Synthetic data for visualization practice
AP_District_02,Andhra Pradesh,2021,26.16,35.35,11.27,62.85,32.2,48.59,Synthetic data for visualization practice
AP_District_03,Andhra Pradesh,2019,17.99,34.59,16.65,61.49,24.78,54.09,Synthetic data for visualization practice
AP_District_03,Andhra Pradesh,2020,14.1,32.74,13.67,45.58,14.14,61.42,Synthetic data for visualization practice
AP_District_03,Andhra Pradesh,2021,21.48,34.17,15.92,54.67,23.17,52.76,Synthetic data for visualization practice
AP_District_04,Andhra Pradesh,2019,15.23,30.42,16.0,44.41,18.16,61.14,Synthetic data for visualization practice
AP_District_04,Andhra Pradesh,2020,9.3,27.25,9.53,46.12,15.3,69.16,Synthetic data for visualization practice
AP_District_04,Andhra Pradesh,2021,21.08,34.52,14.52,59.06,29.1,52.66,Synthetic data for visualization practice
AP_District_05,Andhra Pradesh,2019,14.35,34.07,14.57,44.34,14.28,60.47,Synthetic data for visualization practice
AP_District_05,Andhra Pradesh,2020,16.79,36.88,16.76,54.36,23.71,54.95,Synthetic data for visualization practice
AP_District_05,Andhra Pradesh,2021,17.5,34.34,13.45,54.55,20.22,56.62,Synthetic data for visualization practice
AP_District_06,Andhra Pradesh,2019,14.13,25.0,10.87,42.04,16.33,66.63,Synthetic data for visualization practice
AP_District_06,Andhra Pradesh,2020,26.38,42.21,12.53,62.77,25.37,44.62,Synthetic data for visualization practice
AP_District_06,Andhra Pradesh,2021,22.25,34.64,10.54,57.8,30.22,53.05,Synthetic data for visualization practice
AP_District_07,Andhra Pradesh,2019,15.96,32.95,16.55,48.45,24.8,58.53,Synthetic data for visualization practice
AP_District_07,Andhra Pradesh,2020,9.02,25.9,10.8,40.11,15.44,70.57,Synthetic data for visualization practice
AP_District_07,Andhra Pradesh,2021,20.26,28.84,13.68,60.53,26.57,56.18,Synthetic data for visualization practice
AP_District_08,Andhra Pradesh,2019,22.58,29.77,15.73,57.41,24.95,53.72,Synthetic data for visualization practice
AP_District_08,Andhra Pradesh,2020,20.72,30.27,16.45,58.23,22.57,54.62,Synthetic data for visualization practice
AP_District_08,Andhra Pradesh,2021,13.56,17.27,11.85,55.94,5.44,68.57,Synthetic data for visualization practice
AP_District_09,Andhra Pradesh,2019,9.01,31.06,7.45,53.5,9.62,67.0,Synthetic data for visualization practice
AP_District_09,Andhra Pradesh,2020,14.15,27.45,10.99,55.53,19.5,63.33,Synthetic data for visualization practice
AP_District_09,Andhra Pradesh,2021,15.6,28.96,11.74,58.61,25.01,60.73,Synthetic data for visualization practice
AP_District_10,Andhra Pradesh,2019,24.27,30.7,14.38,53.77,31.59,52.85,Synthetic data for visualization practice
AP_District_10,Andhra Pradesh,2020,13.57,24.55,7.94,48.92,11.44,67.14,Synthetic data for visualization practice
AP_District_10,Andhra Pradesh,2021,9.0,23.31,10.07,57.85,7.74,69.44,Synthetic data for visualization practice
AP_District_11,Andhra Pradesh,2019,16.09,28.24,14.56,47.34,26.22,61.54,Synthetic data for visualization practice
AP_District_11,Andhra Pradesh,2020,20.37,32.06,13.63,56.06,30.86,55.18,Synthetic data for visualization practice
