State,Year,Measure,Value,Dataset_Status
Andhra Pradesh,2015,Beneficiaries_Lakh,16.16,Synthetic data for visualization practice
Andhra Pradesh,2015,Foodgrain_Allocation_Lakh_Tonnes,8.43,Synthetic data for visualization practice
Andhra Pradesh,2015,Foodgrain_Distribution_Lakh_Tonnes,7.33,Synthetic data for visualization practice
Andhra Pradesh,2015,Coverage_Percent,83.91,Synthetic data for visualization practice
Andhra Pradesh,2015,Utilization_Percent,86.94,Synthetic data for visualization practice
Arunachal Pradesh,2015,Beneficiaries_Lakh,21.75,Synthetic data for visualization practice
Arunachal Pradesh,2015,Foodgrain_Allocation_Lakh_Tonnes,11.9,Synthetic data for visualization practice
Arunachal Pradesh,2015,Foodgrain_Distribution_Lakh_Tonnes,10.61,Synthetic data for visualization practice
Arunachal Pradesh,2015,Coverage_Percent,83.38,Synthetic data for visualization practice
Arunachal Pradesh,2015,Utilization_Percent,89.16,Synthetic data for visualization practice
Assam,2015,Beneficiaries_Lakh,18.89,Synthetic data for visualization practice
Assam,2015,Foodgrain_Allocation_Lakh_Tonnes,9.01,Synthetic data for visualization practice
Assam,2015,Foodgrain_Distribution_Lakh_Tonnes,8.26,Synthetic data for visualization practice
Assam,2015,Coverage_Percent,69.23,Synthetic data for visualization practice
Assam,2015,Utilization_Percent,91.68,Synthetic data for visualization practice
Bihar,2015,Beneficiaries_Lakh,7.0,Synthetic data for visualization practice
Bihar,2015,Foodgrain_Allocation_Lakh_Tonnes,4.24,Synthetic data for visualization practice
Bihar,2015,Foodgrain_Distribution_Lakh_Tonnes,3.85,Synthetic data for visualization practice
Bihar,2015,Coverage_Percent,82.14,Synthetic data for visualization practice
Bihar,2015,Utilization_Percent,90.9,Synthetic data for visualization practice
Chhattisgarh,2015,Beneficiaries_Lakh,25.57,Synthetic data for visualization practice
Chhattisgarh,2015,Foodgrain_Allocation_Lakh_Tonnes,14.58,Synthetic data for visualization practice
Chhattisgarh,2015,Foodgrain_Distribution_Lakh_Tonnes,11.85,Synthetic data for visualization practice
Chhattisgarh,2015,Coverage_Percent,84.71,Synthetic data for visualization practice
Chhattisgarh,2015,Utilization_Percent,81.29,Synthetic data for visualization practice
Goa,2015,Beneficiaries_Lakh,48.23,Synthetic data for visualization practice
Goa,2015,Foodgrain_Allocation_Lakh_Tonnes,28.91,Synthetic data for visualization practice
Goa,2015,Foodgrain_Distribution_Lakh_Tonnes,23.32,Synthetic data for visualization practice
Goa,2015,Coverage_Percent,79.32,Synthetic data for visualization practice
Goa,2015,Utilization_Percent,80.66,Synthetic data for visualization practice
Gujarat,2015,Beneficiaries_Lakh,11.91,Synthetic data for visualization practice
Gujarat,2015,Foodgrain_Allocation_Lakh_Tonnes,6.19,Synthetic data for visualization practice
Gujarat,2015,Foodgrain_Distribution_Lakh_Tonnes,4.99,Synthetic data for visualization practice
Gujarat,2015,Coverage_Percent,70.14,Synthetic data for visualization practice
Gujarat,2015,Utilization_Percent,80.49,Synthetic data for visualization practice
Haryana,2015,Beneficiaries_Lakh,22.1,Synthetic data for visualization practice
Haryana,2015,Foodgrain_Allocation_Lakh_Tonnes,13.53,Synthetic data for visualization practice
Haryana,2015,Foodgrain_Distribution_Lakh_Tonnes,12.32,Synthetic data for visualization practice
Haryana,2015,Coverage_Percent,81.92,Synthetic data for visualization practice
Haryana,2015,Utilization_Percent,91.01,Synthetic data for visualization practice
Himachal Pradesh,2015,Beneficiaries_Lakh,4.92,Synthetic data for visualization practice
Himachal Pradesh,2015,Foodgrain_Allocation_Lakh_Tonnes,2.47,Synthetic data for visualization practice
Himachal Pradesh,2015,Foodgrain_Distribution_Lakh_Tonnes,2.01,Synthetic data for visualization practice
Himachal Pradesh,2015,Coverage_Percent,76.08,Synthetic data for visualization practice
