District,State,Reference_Year,Population,Rural_Percent,Urban_Percent,Literacy_Percent,Poverty_Percent,Population_Density_per_sq_km,Dataset_Status
AP_District_01,Andhra Pradesh,2011,1976053,73.35,26.65,67.44,24.12,500.73,Synthetic data for visualization practice
AP_District_01,Andhra Pradesh,2016,2118545,52.99,47.01,79.45,8.36,2392.21,Synthetic data for visualization practice
AP_District_01,Andhra Pradesh,2021,2191852,66.79,33.21,78.06,29.17,512.85,Synthetic data for visualization practice
AP_District_02,Andhra Pradesh,2011,224238,53.18,46.82,84.99,35.55,62.27,Synthetic data for visualization practice
AP_District_02,Andhra Pradesh,2016,240252,75.03,24.97,69.7,18.87,236.78,Synthetic data for visualization practice
AP_District_02,Andhra Pradesh,2021,264372,52.37,47.63,61.94,30.2,110.94,Synthetic data for visualization practice
AP_District_03,Andhra Pradesh,2011,2171573,83.53,16.47,57.85,12.41,748.35,Synthetic data for visualization practice
AP_District_03,Andhra Pradesh,2016,2309758,58.38,41.62,69.81,15.66,924.83,Synthetic data for visualization practice
AP_District_03,Andhra Pradesh,2021,2528482,66.98,33.02,84.17,25.17,508.82,Synthetic data for visualization practice
AP_District_04,Andhra Pradesh,2011,755509,61.97,38.03,68.67,17.53,390.01,Synthetic data for visualization practice
AP_District_04,Andhra Pradesh,2016,794796,61.84,38.16,76.51,16.93,203.15,Synthetic data for visualization practice
AP_District_04,Andhra Pradesh,2021,845632,53.05,46.95,49.25,9.46,212.94,Synthetic data for visualization practice
AP_District_05,Andhra Pradesh,2011,1812859,36.35,63.65,73.95,36.16,398.89,Synthetic data for visualization practice
AP_District_05,Andhra Pradesh,2016,1950149,49.94,50.06,67.4,22.66,753.0,Synthetic data for visualization practice
AP_District_05,Andhra Pradesh,2021,2106763,30.91,69.09,80.01,22.31,1310.77,Synthetic data for visualization practice
AP_District_06,Andhra Pradesh,2011,792140,40.3,59.7,82.79,20.33,358.7,Synthetic data for visualization practice
AP_District_06,Andhra Pradesh,2016,828098,54.56,45.44,59.65,22.8,566.37,Synthetic data for visualization practice
AP_District_06,Andhra Pradesh,2021,926359,41.45,58.55,68.92,26.3,862.34,Synthetic data for visualization practice
AP_District_07,Andhra Pradesh,2011,2679325,40.74,59.26,81.72,12.76,765.54,Synthetic data for visualization practice
AP_District_07,Andhra Pradesh,2016,2903819,47.34,52.66,61.04,6.24,1550.62,Synthetic data for visualization practice
AP_District_07,Andhra Pradesh,2021,3100614,38.84,61.16,72.87,10.19,2950.99,Synthetic data for visualization practice
AP_District_08,Andhra Pradesh,2011,988473,53.83,46.17,67.49,12.48,215.1,Synthetic data for visualization practice
AP_District_08,Andhra Pradesh,2016,1079150,35.29,64.71,81.74,19.12,337.18,Synthetic data for visualization practice
AP_District_08,Andhra Pradesh,2021,1134813,68.72,31.28,65.15,33.98,579.26,Synthetic data for visualization practice
AP_District_09,Andhra Pradesh,2011,1318457,61.75,38.25,59.63,14.46,955.16,Synthetic data for visualization practice
AP_District_09,Andhra Pradesh,2016,1413331,69.64,30.36,68.13,23.13,284.2,Synthetic data for visualization practice
AP_District_09,Andhra Pradesh,2021,1541018,41.87,58.13,74.03,22.75,414.52,Synthetic data for visualization practice
AP_District_10,Andhra Pradesh,2011,2531899,41.05,58.95,73.64,13.76,727.6,Synthetic data for visualization practice
AP_District_10,Andhra Pradesh,2016,2693018,57.62,42.38,69.06,25.7,6348.51,Synthetic data for visualization practice
AP_District_10,Andhra Pradesh,2021,2801145,39.08,60.92,81.52,22.67,1349.29,Synthetic data for visualization practice
AP_District_11,Andhra Pradesh,2011,2823163,41.88,58.12,61.7,30.0,660.91,Synthetic data for visualization practice
AP_District_11,Andhra Pradesh,2016,2967028,56.8,43.2,86.21,26.43,2226.76,Synthetic data for visualization practice
AP_District_11,Andhra Pradesh,2021,3291366,34.67,65.33,74.39,25.9,766.94,Synthetic data for visualization practice
AP_District_12,Andhra Pradesh,2011,1320160,47.29,52.71,78.26,7.28,601.92,Synthetic data for visualization practice
AP_District_12,Andhra Pradesh,2016,1427901,72.25,27.75,71.6,31.99,604.21,Synthetic data for visualization practice
AP_District_12,Andhra Pradesh,2021,1505199,66.82,33.18,79.15,25.78,466.76,Synthetic data for visualization practice
AP_District_13,Andhra Pradesh,2011,2725163,36.16,63.84,79.94,27.65,1493.88,Synthetic data for visualization practice
AP_District_13,Andhra Pradesh,2016,2938507,46.47,53.53,90.7,15.09,1006.25,Synthetic data for visualization practice
AP_District_13,Andhra Pradesh,2021,3129337,73.22,26.78,69.81,16.99,1258.46,Synthetic data for visualization practice
AP_District_14,Andhra Pradesh,2011,333277,41.21,58.79,60.99,31.27,156.11,Synthetic data for visualization practice
AP_District_14,Andhra Pradesh,2016,363734,28.25,71.75,61.96,12.08,176.4,Synthetic data for visualization practice
AP_District_14,Andhra Pradesh,2021,387290,41.21,58.79,67.84,35.54,223.08,Synthetic data for visualization practice
AP_District_15,Andhra Pradesh,2011,2533096,51.44,48.56,75.6,24.24,650.71,Synthetic data for visualization practice
AP_District_15,Andhra Pradesh,2016,2750420,68.67,31.33,62.26,24.96,791.15,Synthetic data for visualization practice
AP_District_15,Andhra Pradesh,2021,2931389,34.37,65.63,62.03,24.75,953.72,Synthetic data for visualization practice
AP_District_16,Andhra Pradesh,2011,1345066,67.81,32.19,75.36,23.38,286.02,Synthetic data for visualization practice
AP_District_16,Andhra Pradesh,2016,1404484,70.37,29.63,71.43,21.06,985.85,Synthetic data for visualization practice
AP_District_16,Andhra Pradesh,2021,1512044,56.14,43.86,76.36,21.22,1048.99,Synthetic data for visualization practice
AP_District_17,Andhra Pradesh,2011,1783687,82.63,17.37,79.1,17.24,2943.42,Synthetic data for visualization practice
AP_District_17,Andhra Pradesh,2016,1905505,74.64,25.36,67.28,23.51,4356.02,Synthetic data for visualization practice
AP_District_17,Andhra Pradesh,2021,2056186,41.72,58.28,77.18,25.34,556.55,Synthetic data for visualization practice
AP_District_18,Andhra Pradesh,2011,251861,48.82,51.18,79.1,15.65,66.45,Synthetic data for visualization practice
AP_District_18,Andhra Pradesh,2016,268522,73.86,26.14,75.39,18.11,68.61,Synthetic data for visualization practice
AP_District_18,Andhra Pradesh,2021,284033,46.6,53.4,84.0,26.64,81.19,Synthetic data for visualization practice
AP_District_19,Andhra Pradesh,2011,2179033,38.59,61.41,64.53,33.9,855.92,Synthetic data for visualization practice
AP_District_19,Andhra Pradesh,2016,2374532,74.79,25.21,82.95,26.46,706.4,Synthetic data for visualization practice
AP_District_19,Andhra Pradesh,2021,2415903,66.04,33.96,65.33,27.86,1274.47,Synthetic data for visualization practice
AP_District_20,Andhra Pradesh,2011,1902479,50.3,49.7,76.29,16.8,742.51,Synthetic data for visualization practice
AP_District_20,Andhra Pradesh,2016,1997714,48.24,51.76,72.17,17.12,650.92,Synthetic data for visualization practice
AP_District_20,Andhra Pradesh,2021,2152252,51.39,48.61,61.38,19.22,463.22,Synthetic data for visualization practice
AP_District_21,Andhra Pradesh,2011,428236,58.18,41.82,78.83,21.67,149.74,Synthetic data for visualization practice
AP_District_21,Andhra Pradesh,2016,455744,90.0,10.0,69.45,23.63,376.74,Synthetic data for visualization practice
AP_District_21,Andhra Pradesh,2021,466438,55.12,44.88,71.96,14.69,103.54,Synthetic data for visualization practice
AP_District_22,Andhra Pradesh,2011,1970601,81.29,18.71,79.14,27.11,608.47,Synthetic data for visualization practice
AP_District_22,Andhra Pradesh,2016,2105399,75.84,24.16,96.0,31.56,686.47,Synthetic data for visualization practice
AP_District_22,Andhra Pradesh,2021,2209636,42.29,57.71,80.96,13.19,3822.95,Synthetic data for visualization practice
AP_District_23,Andhra Pradesh,2011,810554,54.14,45.86,72.91,21.88,200.39,Synthetic data for visualization practice
AP_District_23,Andhra Pradesh,2016,845127,45.69,54.31,59.35,17.97,200.12,Synthetic data for visualization practice
AP_District_23,Andhra Pradesh,2021,930744,64.91,35.09,60.36,19.63,190.05,Synthetic data for visualization practice
AP_District_24,Andhra Pradesh,2011,1897209,61.4,38.6,72.95,30.74,1715.92,Synthetic data for visualization practice
AP_District_24,Andhra Pradesh,2016,2033670,61.12,38.88,68.12,22.53,1289.85,Synthetic data for visualization practice
AP_District_24,Andhra Pradesh,2021,2134028,35.21,64.79,83.19,30.53,852.72,Synthetic data for visualization practice
AP_District_25,Andhra Pradesh,2011,1025410,37.65,62.35,55.2,16.64,453.05,Synthetic data for visualization practice
AP_District_25,Andhra Pradesh,2016,1099590,57.65,42.35,82.47,28.74,671.59,Synthetic data for visualization practice
AP_District_25,Andhra Pradesh,2021,1223920,65.74,34.26,73.32,25.39,248.61,Synthetic data for visualization practice
AP_District_26,Andhra Pradesh,2011,970564,15.0,85.0,62.52,25.89,251.65,Synthetic data for visualization practice
AP_District_26,Andhra Pradesh,2016,1019605,33.7,66.3,68.81,12.03,275.96,Synthetic data for visualization practice
AP_District_26,Andhra Pradesh,2021,1141267,45.59,54.41,65.18,24.1,343.44,Synthetic data for visualization practice
AP_District_27,Andhra Pradesh,2011,2537974,53.92,46.08,62.7,16.16,1018.09,Synthetic data for visualization practice
AP_District_27,Andhra Pradesh,2016,2672704,34.77,65.23,68.23,22.79,2537.11,Synthetic data for visualization practice
AP_District_27,Andhra Pradesh,2021,2868395,50.37,49.63,69.89,28.52,1176.26,Synthetic data for visualization practice
AP_District_28,Andhra Pradesh,2011,2681507,52.95,47.05,71.55,22.37,683.5,Synthetic data for visualization practice
AP_District_28,Andhra Pradesh,2016,2819372,69.05,30.95,73.86,21.64,1841.17,Synthetic data for visualization practice
AP_District_28,Andhra Pradesh,2021,2977693,26.6,73.4,66.77,17.5,1069.54,Synthetic data for visualization practice
AP_District_29,Andhra Pradesh,2011,738737,76.73,23.27,77.81,31.0,841.66,Synthetic data for visualization practice
AP_District_29,Andhra Pradesh,2016,777970,43.04,56.96,78.02,21.97,173.82,Synthetic data for visualization practice
AP_District_29,Andhra Pradesh,2021,842012,46.06,53.94,86.59,13.2,688.96,Synthetic data for visualization practice
AP_District_30,Andhra Pradesh,2011,1116926,31.31,68.69,64.52,16.7,322.13,Synthetic data for visualization practice
AP_District_30,Andhra Pradesh,2016,1216409,53.72,46.28,58.88,40.61,1144.0,Synthetic data for visualization practice
AP_District_30,Andhra Pradesh,2021,1309672,46.89,53.11,66.13,37.3,404.34,Synthetic data for visualization practice
AP_District_01,Arunachal Pradesh,2011,2777728,48.92,51.08,66.26,14.11,1764.29,Synthetic data for visualization practice
AP_District_01,Arunachal Pradesh,2016,2924614,50.27,49.73,71.19,11.13,609.94,Synthetic data for visualization practice
AP_District_01,Arunachal Pradesh,2021,3023908,51.44,48.56,66.67,21.35,4663.48,Synthetic data for visualization practice
AP_District_02,Arunachal Pradesh,2011,1640945,66.18,33.82,81.79,35.73,980.74,Synthetic data for visualization practice
AP_District_02,Arunachal Pradesh,2016,1746060,66.89,33.11,73.3,24.8,541.96,Synthetic data for visualization practice
AP_District_02,Arunachal Pradesh,2021,1943066,31.84,68.16,57.37,23.54,1499.75,Synthetic data for visualization practice
AP_District_03,Arunachal Pradesh,2011,1352532,57.75,42.25,63.86,29.19,496.26,Synthetic data for visualization practice
AP_District_03,Arunachal Pradesh,2016,1445030,37.05,62.95,70.4,30.78,352.6,Synthetic data for visualization practice
AP_District_03,Arunachal Pradesh,2021,1604472,46.82,53.18,63.1,16.75,504.46,Synthetic data for visualization practice
AP_District_04,Arunachal Pradesh,2011,1944023,64.5,35.5,64.93,21.28,1860.55,Synthetic data for visualization practice
AP_District_04,Arunachal Pradesh,2016,2032028,45.83,54.17,66.82,15.23,992.29,Synthetic data for visualization practice
AP_District_04,Arunachal Pradesh,2021,2302940,52.97,47.03,72.49,32.2,607.31,Synthetic data for visualization practice
